experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 132021	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.19694239888282	0.298903689744475	558	2723	160	0.00215946382243214	9776	11704000	1
8101HTa	20220701 132208	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101150194537477	0.54364797862363	944	5062	137	0.0136791383202787	10502	13978000	2
8101HTa	20220701 132357	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.109115315997624	0.677252665029664	219	5631	79	0.0166302633011539	10162	14198000	3
8101HTa	20220701 132519	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.219439874800737	0.631269203702686	353	3023	16	0.012133425791326	12808	13352000	4
8101HTa	20220701 132752	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.157621125917649	0.877927442401415	419	1483	200	0.000452396012449676	9212	11668000	5
8101HTa	20220701 132927	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.171037877826602	0.47209830184438	311	3705	193	0.00235106581247713	10638	13002000	6
8101HTa	20220701 132953	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.191502237080131	0.154010101330641	151	565	77	0.0100479737851284	10786	12014000	7
8101HTa	20220701 133349	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0663912301760865	0.760789069002203	727	4945	352	0.00800910209673192	10432	14528000	8
8101HTa	20220701 133442	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0529878902470227	0.230676010684692	992	7942	160	0.0171041366837826	10494	13986000	9
8101HTa	20220701 133527	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.29231876291451	0.423570122741512	876	6593	16	0.0291993725204123	6822	10578000	10
8101HTa	20220701 133638	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.250807821118506	0.810647150408477	33	4031	196	0.0158720864880427	8868	12012000	11
8101HTa	20220701 133805	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.277056618221686	0.585277161101112	589	93	206	1.35906110123643e-285	12434	11206000	12
8101HTa	20220701 133902	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.137662147222436	0.326340661995346	476	7196	141	0.0174455504344287	8926	13034000	13
8101HTa	20220701 134101	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0739846953656524	0.951967658573994	121	2069	256	0.00953382202758697	11350	13610000	14
8101HTa	20220701 134310	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0256584717152873	0.193567493767478	833	1788	502	0.00757469827625185	11540	13780000	15
8101HTa	20220701 134423	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.239024838924524	0.926109886700578	663	6186	20	0.018069012779615	10108	12812000	16
8101HTa	20220701 134634	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0691745019695599	0.619051017275569	354	6271	170	0.0129096545898191	11572	13868000	17
8101HTa	20220701 134818	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0842294830498398	0.764020626163989	872	6557	73	0.0194940948528533	9604	14996000	18
8101HTa	20220701 135207	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0914239311254428	0.775322229495141	762	7984	551	0.00363535620798445	10896	12264000	19
8101HTa	20220701 135629	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0241145906166444	0.763797662061817	458	6250	508	0.0134687142920925	11404	13916000	20
8101HTa	20220701 135809	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.110835210504791	0.762730313654381	975	5803	67	0.0153255145779284	10906	14174000	21
8101HTa	20220701 140012	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0565415333979039	0.763494509137736	856	7057	142	0.0159805049716273	10700	14500000	22
8101HTa	20220701 140255	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0875035010562562	0.764748587186541	862	5227	270	0.011048622805921	9156	12684000	23
8101HTa	20220701 140519	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0612441381099075	0.969354339546012	684	26	141	0.0013437443941128	12292	13028000	24
8101HTa	20220701 140704	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144227177940216	0.734236518382677	548	6453	111	0.0133359930246867	10866	13254000	25
8101HTa	20220701 140857	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.115639491814561	0.718817888564453	807	5455	100	0.0107159021146358	12596	13324000	26
8101HTa	20220701 140954	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.167974983664928	0.423446070845309	675	4566	53	0.0219453380310458	8212	13148000	27
8101HTa	20220701 141309	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0520945394743979	0.990747633903171	791	3517	284	0.0077886617850892	12086	12874000	28
8101HTa	20220701 141348	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.245900205830764	0.265302602361399	272	6597	55	0.0182729931739385	9362	13198000	29
8101HTa	20220701 141552	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.202813206236511	0.951347630601563	332	4910	156	0.00444351291399823	10356	12564000	30
8101HTa	20220701 141712	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.11671830778135	0.572736529607885	766	4873	73	0.0169189374416753	10210	13310000	31
8101HTa	20220701 141805	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14312179317656	0.327766494586272	830	4215	29	0.0199986043358415	8658	14142000	32
8101HTa	20220701 141853	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.229316507515069	0.393344031555881	644	5075	24	0.0218024776210621	8752	13688000	33
8101HTa	20220701 141957	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0852233580271248	0.404612072499818	103	4857	142	0.0169600671604542	9818	13702000	34
8101HTa	20220701 142037	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.101786395952236	0.112609258927475	372	1017	127	0.00895984246405867	10406	12994000	35
8101HTa	20220701 142120	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.194096978604291	0.427681592786498	50	5015	81	0.0178465766684157	9570	13590000	36
8101HTa	20220701 142249	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.144765652346825	0.554259937580652	711	7180	157	0.0166881413632255	9170	13390000	37
8101HTa	20220701 142408	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.123560282147592	0.37796487140283	539	3885	159	0.0088838835061736	10696	13904000	38
8101HTa	20220701 142452	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.247447407535342	0.319760480330302	122	2048	106	0.00983974998405801	10110	11010000	39
8101HTa	20220701 142641	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.112762993759643	0.727070892823022	121	3694	177	0.0112904391151104	10936	13544000	40
8101HTa	20220701 142848	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151031336084586	0.803841766718193	964	1741	81	0.00692031221497865	11146	13094000	41
8101HTa	20220701 143142	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0514765718527511	0.914142998647527	37	3075	735	0.0157543758252163	9870	14130000	42
8101HTa	20220701 143231	167	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.221543555876734	0.402970562975947	816	5463	29	0.0190757004142913	9308	13852000	43
