Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.107038279892662	0.0106700907677557	0.00497377953181597
ctrx_quarter	0.0815160849803457	0.00828090813480796	0.00440611991133697
mcaja_ahorro	0.046388914685964	0.00607616091244446	0.00656863275125696
mtarjeta_visa_consumo	0.0458811209946123	0.0107690472341575	0.00600097313077796
mcuentas_saldo	0.0353976630403882	0.0108369477515078	0.0107585013786019
mv_status07_tend6	0.0337016291998505	0.0015283550932857	0.000351408336486998
mdescubierto_preacordado_tend6	0.0332179039999452	0.00245219344400913	0.00118938206195599
ctrx_quarter_normalizado_lag1	0.0284516470568851	0.00168248323747339	0.00154079039844299
mv_status06_tend6	0.0262809010106524	0.00091196287359817	0.000243282694490999
cpayroll_trx	0.0221465889404286	0.0103833317321914	0.00273017246039898
ctrx_quarter_lag1	0.0212164340648892	0.0015075223349068	0.00227063848191599
foto_mes	0.018169802689786	0.0164838541486656	0.0152727469319349
mpasivos_margen	0.0179669139110389	0.00483620232799873	0.00502784235281397
mprestamos_personales	0.0141552869209984	0.01265412905921	0.00467643401632697
mprestamos_personales_tend6	0.0139260357838858	0.00768949142533737	0.00397361734335298
mpayroll	0.0119111754207666	0.0118274181178566	0.00429799426934097
mpayroll_sobre_edad	0.0113609474860417	0.00995338087414206	0.00397361734335298
ccomisiones_mantenimiento_tend6	0.00941151352704465	0.00316813206487297	0.00278423528139698
mes	0.0086094020276573	0.00746271291859008	0.00754176352922096
mdescubierto_preacordado	0.00837676815886971	0.000761004132075611	0.000783910904470995
ctarjeta_visa_trx	0.00819348569984305	0.00649918512892243	0.00673082121425096
mv_msaldototal_lag1	0.00743720468023073	0.000179459170652953	0.000486565388981997
mcuenta_corriente	0.0072420294465429	0.00293554136123824	0.00537925068930097
cproductos_tend6	0.00704035798408409	0.0053951804017868	0.00251392117640699
mdescubierto_preacordado_delta1	0.006707328700721	0.005542490657811	0.00154079039844299
mv_msaldopesos	0.0058074341224556	0.00115170908238916	0.00175704168243499
mprestamos_personales_lag1	0.00562670387002245	0.000918135894789026	0.00118938206195599
mdescubierto_preacordado_avg6	0.00544699601881187	0.00100171443180388	0.00105422500946099
mv_status07	0.00543961077994266	0.000142834084260205	0.000162188462993999
mv_status02	0.00533425319872034	0.000706000830735064	0.000405471157484998
mcuentas_saldo_tend6	0.0051421152389207	0.0027721633755509	0.00486565388981997
cproductos_delta1	0.00475023389913102	0.00281789189987715	0.000865005135967995
cprestamos_personales_tend6	0.00461611468626063	0.0013630773176464	0.000837973725468995
