lote	time	secs	mem	CPU	GB
1	20220601 214018	0	48	62	15999
1	20220601 214523	305	48	2	15999
1	20220601 214958	580	54	0	15999
1	20220601 215003	585	66	15	15999
1	20220601 215008	590	80	15	15999
1	20220601 215013	595	94	15	15999
1	20220601 215018	600	99	16	15999
1	20220601 215023	605	36	6	15999
1	20220601 215528	910	36	0	15999
1	20220601 220033	1215	36	0	15999
1	20220601 220538	1520	36	0	15999
1	20220601 220623	1565	43	1	15999
1	20220601 220628	1570	55	15	15999
1	20220601 220633	1575	68	15	15999
1	20220601 220638	1580	81	15	15999
1	20220601 220643	1585	95	15	15999
1	20220601 220648	1590	94	17	15999
1	20220601 220653	1595	28	5	15999
1	20220601 221158	1900	28	0	15999
1	20220601 221703	2205	28	0	15999
2	20220706 144958	0	1	6	128822
2	20220706 145503	305	9	11	128822
2	20220706 150008	610	11	94	128822
2	20220706 150513	915	12	98	128822
2	20220706 151018	1220	12	98	128822
2	20220706 151523	1525	10	98	128822
2	20220706 152028	1830	11	98	128822
2	20220706 152533	2135	10	81	128822
2	20220706 152538	2140	4	1	128822
