archivo	iteracion_bayesiana	ganancia	corte
8201ZZa_066_09000.csv	66	15708000	9000
8201ZZa_066_09500.csv	66	15708000	9500
8201ZZa_066_10000.csv	66	15708000	10000
8201ZZa_066_10500.csv	66	15708000	10500
8201ZZa_066_11000.csv	66	15708000	11000
8201ZZa_066_11500.csv	66	15708000	11500
8201ZZa_066_12000.csv	66	15708000	12000
8201ZZa_066_12500.csv	66	15708000	12500
8201ZZa_066_13000.csv	66	15708000	13000
8201ZZa_066_13500.csv	66	15708000	13500
8201ZZa_066_14000.csv	66	15708000	14000
8201ZZa_066_14500.csv	66	15708000	14500
8201ZZa_066_15000.csv	66	15708000	15000
8201ZZa_semillerio_066_09000.csv	66	15708000	9000
8201ZZa_semillerio_066_09500.csv	66	15708000	9500
8201ZZa_semillerio_066_10000.csv	66	15708000	10000
8201ZZa_semillerio_066_10500.csv	66	15708000	10500
8201ZZa_semillerio_066_11000.csv	66	15708000	11000
8201ZZa_semillerio_066_11500.csv	66	15708000	11500
8201ZZa_semillerio_066_12000.csv	66	15708000	12000
8201ZZa_semillerio_066_12500.csv	66	15708000	12500
8201ZZa_semillerio_066_13000.csv	66	15708000	13000
8201ZZa_semillerio_066_13500.csv	66	15708000	13500
8201ZZa_semillerio_066_14000.csv	66	15708000	14000
8201ZZa_semillerio_066_14500.csv	66	15708000	14500
8201ZZa_semillerio_066_15000.csv	66	15708000	15000
