fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220602 215248	1587	14	348	13	5	11614000	1
20220602 222043	1033	11	200	27	5	11228000	2
20220602 231142	1701	26	181	22	5	10125000	3
20220602 233423	486	24	324	34	5	9762000	4
20220603 000033	1956	5	398	30	5	10632000	5
20220603 000733	552	17	151	9	5	11231000	6
20220603 003329	1401	20	451	14	5	11523000	7
20220603 021809	1789	21	26	38	5	8784000	8
20220603 022829	1231	2	45	47	5	9156000	9
20220603 024618	923	8	254	25	5	11412000	10
20220603 033927	2317	15	96	18	5	11178000	11
20220603 035104	2135	8	410	5	5	11107000	12
20220603 040722	264	19	66	44	5	9124000	13
20220603 041327	808	27	313	4	5	11109000	14
20220603 041533	147	3	491	50	5	9932000	15
20220603 063252	2414	30	227	39	5	9560000	16
20220603 064248	488	12	494	18	5	11364000	17
20220603 070109	1139	10	239	16	5	11683000	18
20220603 072715	2498	20	500	7	5	11627000	19
20220603 073425	1316	20	500	2	5	10903000	20
20220603 083400	1324	20	500	2	5	10906000	21
20220603 091107	2500	19	493	11	5	11586000	22
20220603 093932	2500	29	500	8	5	12013000	23
20220603 100838	2500	30	330	8	5	11595000	24
20220603 103006	1695	30	500	9	5	11459000	25
20220603 105556	2500	27	500	7	5	11636000	26
20220603 105637	281	1	102	14	5	-2000	27
20220603 121535	2331	8	413	47	5	11065000	28
20220603 130325	2500	9	500	22	5	11471000	29
20220603 131436	2500	12	245	2	5	10886000	30
20220603 144803	1173	8	500	35	5	11205000	31
20220603 153943	1928	6	1	50	5	10707000	32
20220603 161507	2499	23	382	10	5	11553000	33
20220603 161743	100	16	366	19	5	10627000	34
20220603 164618	2496	20	2	7	5	10670000	35
20220603 170046	2500	29	500	2	5	10804000	36
20220603 175318	2500	29	499	14	5	11262000	37
20220603 175448	103	23	500	9	5	10946000	38
20220603 181219	1446	11	500	8	5	11349000	39
