fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220628 014438	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	150	TRUE	0.0994204973943997	0.681413433523849	29584	1169	0.0415876500410377	138828000	HT731_10	2235	1931178	1
20220628 022658	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	66	TRUE	0.129120302874246	0.600029798569158	14504	965	0.0301265818644121	150451000	HT731_10	2235	1931178	2
20220628 025647	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	87	TRUE	0.178116262700991	0.735314098428935	45546	786	0.0194695896226525	167004000	HT731_10	2235	1931178	3
20220628 125955	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	119	TRUE	0.102735579502303	0.517002689037472	26669	587	0.0323376257976634	151211000	HT731_10	2235	1931178	4
20220628 140132	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	137	TRUE	0.173855420084554	0.408381300782785	41561	880	0.0201590114355592	167527000	HT731_10	2235	1931178	5
20220628 143750	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	97	TRUE	0.113656133984332	0.615803512120619	17018	1917	0.0341612084075071	148422000	HT731_10	2235	1931178	6
20220628 145541	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	27	TRUE	0.295125425487524	0.841792860226706	20857	709	0.026231114321854	155071000	HT731_10	2235	1931178	7
20220628 172529	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	298	TRUE	0.0293454706774792	0.560736320586875	11395	1266	0.0416859140236435	137576000	HT731_10	2235	1931178	8
20220628 174745	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	71	TRUE	0.279815082151559	0.686817846717313	46155	1053	0.0125147225374045	162830000	HT731_10	2235	1931178	9
20220628 181841	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	108	TRUE	0.148305678207427	0.776394927473739	35489	254	0.0410506931662288	135918000	HT731_10	2235	1931178	10
20220628 190109	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	170	TRUE	0.0955217604208737	0.999299941789359	38528	1620	0.0389523773337714	141984000	HT731_10	2235	1931178	11
20220628 194703	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	122	TRUE	0.199711691503762	0.369213055679575	42904	1005	0.0173384633138388	167352000	HT731_10	2235	1931178	12
20220628 201731	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	32	TRUE	0.257231474693283	0.537085399460048	17695	776	0.0309942098766139	146909000	HT731_10	2235	1931178	13
20220628 203918	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	49	TRUE	0.246094416375388	0.812232184382156	22543	1775	0.0210237521721865	162880000	HT731_10	2235	1931178	14
20220628 213122	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	89	TRUE	0.0550257786114235	0.653156356848776	4441	1200	0.0286334935614529	155059000	HT731_10	2235	1931178	15
20220628 215847	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	42	TRUE	0.185220475488342	0.92760717805475	6751	349	0.0471378944557121	122647000	HT731_10	2235	1931178	16
20220629 002621	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	445	TRUE	0.0167587504792027	0.225108639793471	7679	1697	0.045415894430577	132536000	HT731_10	2235	1931178	17
20220629 005453	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	80	TRUE	0.14018999429699	0.886219180664048	30453	46	0.0157579708155633	166593000	HT731_10	2235	1931178	18
20220629 013556	binary	custom	TRUE	TRUE	FALSE	-100	800011	-1	0	0	0	31	129	TRUE	0.166201398001867	0.252173811225221	33768	144	0.0369575938331157	141992000	HT731_10	2235	1931178	19
