Feature	Gain	Cover	Frequency
ctrx_quarter	0.17101139818902	0.0166385289722222	0.0129173134092763
mcuentas_saldo	0.0413267453298765	0.0138286767812213	0.0187928055913639
mcaja_ahorro	0.0408133308686801	0.00745578595625815	0.0124349968868661
mtarjeta_visa_consumo	0.0408020084214133	0.0124811477700421	0.015758596195838
ctrx_quarter_lag1	0.0279888713317055	0.0070110420969123	0.00915524453447686
foto_mes	0.0190281943681697	0.0143568130186514	0.0156709022826726
cpayroll_trx	0.0175458503274119	0.00757175896769157	0.00391991791849728
mpayroll	0.017331512287819	0.0139578634693674	0.00580533705155525
ctarjeta_visa	0.0170226030586802	0.000568813222662874	0.000675243131374251
mcuenta_corriente	0.0166110149314005	0.00745648619088312	0.0105145001885419
mdescubierto_preacordado	0.0147034705172463	0.00118474287184907	0.0013680250453816
mprestamos_personales	0.0145848237013137	0.0068968799998287	0.00314821148264099
Visa_fultimo_cierre_lag1	0.0120971589634828	0.0028878275737881	0.00569133496444012
mdescubierto_preacordado_delta1	0.0119640499048338	0.00378900267231171	0.000973402436136908
mpasivos_margen	0.0102061749391997	0.00880087684480538	0.0102426490577289
mactivos_margen	0.00882073078337396	0.00803183326415697	0.0139608709759456
mrentabilidad_annual	0.0085391460201249	0.00742425100455699	0.0109091227977866
ctrx_quarter_delta1	0.00843483976922733	0.00725104348118915	0.0120491436689379
numero_de_cliente	0.0082843402246602	0.00968589467200505	0.0161707575877158
cproductos_delta1	0.00816633026195682	0.00393132136500263	0.00130663930616576
cliente_edad	0.00811941196645589	0.00962712243834983	0.0150658142818307
cliente_edad_lag1	0.00806090179909464	0.0084064120084276	0.0138731770627801
ctarjeta_visa_trx	0.00777279106013221	0.00738508719307771	0.0109266615804197
mrentabilidad_annual_delta1	0.00769736577511334	0.00612563034431397	0.012592845930564
Master_status	0.00756762996992978	0.00207695147796513	0.000780475827172836
Master_fechaalta	0.0074621504949157	0.00905189231529722	0.0121719151473696
mcuenta_corriente_lag1	0.00667984667199133	0.00804905011220479	0.00973402436136908
mdescubierto_preacordado_lag1	0.00653864267102129	0.000940828711424501	0.000929555479554164
mprestamos_personales_delta1	0.00635886885929727	0.00819720311563551	0.00332359930897196
Visa_Fvencimiento_lag1	0.00615868977954622	0.00541913915268956	0.0115142107986285
Master_Fvencimiento	0.00615568631338285	0.00608716097784474	0.0107775819280384
Visa_Fvencimiento	0.00597765768970556	0.00747724196034502	0.0110406636675348
Visa_fechaalta_lag1	0.00591962672672503	0.00418218252295834	0.00876062192523217
Visa_fechaalta	0.00577366674693723	0.00521929469183667	0.0100234142748152
mcuentas_saldo_delta1	0.00575184285648419	0.00805358500177358	0.0102251102750958
Master_Fvencimiento_lag1	0.0056755237956675	0.00447508531697924	0.0110669718414845
mrentabilidad	0.00565160773738423	0.00464533473310104	0.00870800557733288
mcaja_ahorro_dolares_delta1	0.00558349351805685	0.00603802104231202	0.00593687792130348
Visa_status	0.00539601519421138	0.000805858583955054	0.000429700174510887
chomebanking_trx	0.00536919832096562	0.00443627467200963	0.00909385879526102
mrentabilidad_annual_lag1	0.00525949578504855	0.00629407239704976	0.00929555479554164
mcaja_ahorro_lag1	0.0052093632247433	0.00642490650082046	0.00981294888321802
Master_fechaalta_lag1	0.00508642154506749	0.00580675603254864	0.00994448975296625
ccaja_ahorro	0.00491078617640642	0.00385496167075032	0.0030955951347417
mprestamos_personales_lag1	0.00478873461999467	0.00343742151359203	0.00159602921961187
mrentabilidad_delta1	0.00478072980871582	0.00452444803689381	0.00836599931598748
mcaja_ahorro_delta1	0.00462743099573506	0.0076947009771928	0.00836599931598748
mcomisiones_mantenimiento	0.00455370553516709	0.00636720588628814	0.00461269983250463
mtransferencias_recibidas	0.00452461638625462	0.00536551126206627	0.00726982540141889
cliente_antiguedad_lag1	0.00451498366798792	0.00520234856618217	0.0089272403602466
mactivos_margen_delta1	0.00448049486619842	0.00447883436281722	0.00798014609805933
mcuenta_corriente_delta1	0.0044091533503131	0.00817058678917954	0.00840984627257022
mactivos_margen_lag1	0.00440267486772108	0.0074182819887769	0.00815553392439031
Visa_mpagominimo	0.00431691995907028	0.00690533669734446	0.00912893636052722
Visa_mpagospesos_lag1	0.00411952501721821	0.00499967969959029	0.00796260731542624
cliente_antiguedad	0.00407265414845301	0.0037221374061521	0.0082432278375558
Visa_mfinanciacion_limite	0.00405820613567576	0.00534853271456826	0.006840125226908
mcuentas_saldo_lag1	0.00400841752203379	0.00667224965717064	0.00780475827172836
Visa_mpagominimo_lag1	0.00373619744539964	0.00518992891585612	0.0068225864442749
mrentabilidad_lag1	0.00371716643419326	0.00304030927930185	0.0068576640095411
Master_mfinanciacion_limite	0.00368535301664064	0.00410038491360058	0.00671735374847632
cproductos	0.00363433198257292	0.0069667659010754	0.00733121114063473
Visa_mpagospesos_delta1	0.00361659212279642	0.0051227242238729	0.0078486052283111
Visa_fultimo_cierre	0.00351752081679925	0.0037252356992739	0.00655073531346189
chomebanking_trx_delta1	0.00349825672009747	0.00566735646369668	0.0068576640095411
Visa_msaldototal	0.00348105261008699	0.00247047500015298	0.0041216139187779
mcaja_ahorro_dolares_lag1	0.00343812441986796	0.00377521675006113	0.00626134540001579
mcomisiones_otras	0.00342195695484838	0.00409695584048011	0.00578779826892215
mtransferencias_recibidas_lag1	0.00338475280519306	0.00531812094816015	0.00706812940113827
ccomisiones_mantenimiento_delta1	0.00334150400032126	0.00428698914270713	0.0013504862627485
mpayroll_lag1	0.00331340880912551	0.00573140326812193	0.00445485078880675
chomebanking_trx_lag1	0.00324139435361668	0.0037578285294119	0.0068225864442749
Master_mfinanciacion_limite_lag1	0.00322636834812429	0.00585019010959777	0.00603334122578552
mpasivos_margen_lag1	0.00311391515227966	0.00420879360016344	0.00659458227004464
Visa_cconsumos_lag1	0.00310930742395695	0.00435070887248726	0.00609472696500136
Visa_Finiciomora	0.00309077439742266	0.00597859689801763	0.00124525356694992
Visa_mpagospesos	0.00298067438973616	0.0046375788105743	0.00681381705295835
Visa_mconsumospesos	0.00292294005364369	0.00271838268255457	0.00624380661738269
thomebanking	0.00284979499358699	0.00161024444426606	0.00142064139328089
Master_fultimo_cierre_lag1	0.00284893819134643	0.00421698629123919	0.00600703305183587
Master_fultimo_cierre	0.00284176237961386	0.00291402689358062	0.00570887374707322
ccomisiones_mantenimiento	0.00283919143717113	0.00277244186089142	0.0013680250453816
Visa_mconsumospesos_lag1	0.0027700786577977	0.00296388875549552	0.00567379618180702
mpasivos_margen_delta1	0.00276209107434661	0.00430532307765363	0.00612103513895101
mcomisiones	0.0027555872084006	0.00302518796307296	0.0051125551375479
mcaja_ahorro_dolares	0.0026584413242448	0.0053034587097964	0.00554225531205879
Visa_msaldopesos	0.00265714629427648	0.00282069513619899	0.0054721001815264
Visa_mpagominimo_delta1	0.00265687292934807	0.00298256497247565	0.00506870818096516
Visa_mfinanciacion_limite_lag1	0.00261795497563973	0.00248687543530325	0.00465654678908737
Visa_mlimitecompra_lag1	0.00258783189726799	0.00345227141267382	0.00445485078880675
mcuenta_debitos_automaticos	0.00254749301375202	0.00703270629555143	0.00392868730981383
Visa_cconsumos	0.00252360478287009	0.00368626611007622	0.00491085913726728
mtarjeta_visa_debitos_automaticos_lag1	0.00249294025201087	0.00445704950860331	0.00471793252830321
ccomisiones_otras	0.00240124083280403	0.00478387025982343	0.00433207931037507
Visa_mlimitecompra	0.00239803809059674	0.00319032013156061	0.00399007304902967
cmobile_app_trx	0.00237217521568649	0.00298449175631859	0.00488455096331764
mtransferencias_emitidas	0.00236209492855186	0.00954045807869649	0.00645427200897986
mtarjeta_visa_consumo_lag1	0.0023301415261671	0.00468633663152279	0.00332359930897196
tcallcenter	0.00222830130014201	0.000956360318363541	0.00111371269720169
mcomisiones_lag1	0.00221118006027177	0.00136627385439481	0.00422684661457648
Visa_mconsumosdolares_lag1	0.00220501034258995	0.00346889355147781	0.00471793252830321
Visa_mconsumospesos_delta1	0.00220113369612922	0.00307053168670488	0.00526163478992923
mcomisiones_mantenimiento_lag1	0.00216291107316437	0.00655582420663051	0.00390237913586418
mtransferencias_recibidas_delta1	0.00214427124007951	0.00364102212221052	0.00472670191961976
Master_mlimitecompra_lag1	0.00211186892444884	0.00259436264675661	0.00360421983110152
mtransferencias_emitidas_lag1	0.00210579915988836	0.00286970098425034	0.00479685705015215
mcomisiones_otras_lag1	0.00206037315945399	0.0017608906102679	0.00413038331009445
ccomisiones_otras_lag1	0.00205657772242316	0.0049955648272847	0.0041216139187779
Master_mlimitecompra	0.00203609989835114	0.00216561649694769	0.00358668104846843
mtransferencias_emitidas_delta1	0.00199846172512654	0.00362890692843401	0.00380591583138214
mpayroll_delta1	0.00198105346973352	0.00826752871883611	0.00479685705015215
mtarjeta_visa_debitos_automaticos_delta1	0.00196058278779783	0.00505091285109597	0.00334113809160506
Visa_msaldopesos_delta1	0.00192512001062519	0.0028535088208472	0.00365683617900082
mtarjeta_visa_debitos_automaticos	0.0019121280259214	0.00240161872402234	0.00378837704874905
mcomisiones_otras_delta1	0.00191123252164356	0.00218529686473828	0.00391114852718073
Visa_msaldopesos_lag1	0.00188043780909465	0.00322817363739286	0.00361298922241807
cprestamos_personales	0.00186683537540006	0.00221592083983165	0.000947094262187262
ccallcenter_trx_delta1	0.00182486393863622	0.00255102135793581	0.0013855638280147
cmobile_app_trx_lag1	0.00180547048972068	0.00315331955179729	0.00391991791849728
mcomisiones_delta1	0.00176966928926402	0.00301477638278321	0.00370945252690011
ccaja_ahorro_delta1	0.00176157424246329	0.00557643974768229	0.000561241044259118
cproductos_lag1	0.00175302158185793	0.00294567470417514	0.00360421983110152
mpagomiscuentas	0.00174733262530402	0.00350501465013845	0.00316575026527409
mautoservicio	0.00172074924990418	0.0062527286025687	0.0037971464400656
ctransferencias_recibidas_lag1	0.00163677468638182	0.00240445339667845	0.00391114852718073
ctarjeta_master	0.0016254573227224	0.000440791482232144	0.000289389913446108
Visa_mconsumosdolares	0.00160964757803859	0.00232559042732762	0.00338498504818781
ctransferencias_recibidas	0.00155186694133002	0.00333102460241902	0.00301667061289276
Visa_msaldototal_delta1	0.00149055126770948	0.00253195708236679	0.00373576070084975
mtarjeta_master_consumo	0.00148364422547982	0.00139229948573995	0.00129786991484921
internet	0.00144360865339752	0.00382721413073529	0.00204326817675585
ctarjeta_visa_trx_lag1	0.00142876173994817	0.00362787375235413	0.00349021774398639
Visa_cconsumos_delta1	0.0014112596457886	0.00318548665225206	0.00297282365631002
Visa_msaldototal_lag1	0.00140965067231943	0.00144686050789743	0.00302544000420931
ccallcenter_trx	0.00137828894560238	0.00623722787357586	0.00240281322073435
ccaja_seguridad_lag1	0.00135079700673565	0.000433962824429821	0.000263081739496462
Master_mpagospesos_lag1	0.00132620349422026	0.00328213601336837	0.00280620522129559
Visa_mconsumosdolares_delta1	0.00129390771833525	0.00227965384712864	0.00293774609104382
mpagomiscuentas_lag1	0.00128081390829712	0.00385504743424589	0.00280620522129559
ctarjeta_debito	0.00127525511397773	0.0018203451693393	0.00255189287311568
mautoservicio_delta1	0.00127045093068661	0.00608252334190997	0.00320959722185683
mtarjeta_visa_consumo_delta1	0.00124935157575483	0.00404714060426397	0.00317451965659064
Master_mpagominimo_lag1	0.0012492835925094	0.00216123221456149	0.00214850087255444
Visa_fultimo_cierre_delta1	0.0012417939264861	0.00201662554325195	0.00235019687283506
mcuenta_debitos_automaticos_lag1	0.00123497367338808	0.00256934965765713	0.00255189287311568
ctarjeta_debito_trx	0.00122624394236533	0.00151599314164657	0.00299913183025966
ctransferencias_emitidas	0.00122407455027278	0.00521925601720906	0.00302544000420931
ctarjeta_visa_debitos_automaticos_lag1	0.00120233859890462	0.00321572758642281	0.00215727026387098
Visa_Finiciomora_lag1	0.00116884661340485	0.0048448668635281	0.000912016696921067
mautoservicio_lag1	0.00116838864161396	0.00283824616081957	0.00315698087395754
Master_mpagominimo	0.00114844398626158	0.00440415720785339	0.00231511930756886
Master_msaldototal	0.00114607319417836	0.00271378078784252	0.00255189287311568
ccomisiones_otras_delta1	0.00113534097176829	0.00145385459429653	0.00223619478571992
cmobile_app_trx_delta1	0.00111478608651558	0.00239035429485853	0.00263958678628116
ccaja_seguridad	0.00109064751243285	0.00312989778046041	0.000622626783474959
Master_mpagospesos	0.00106661068565806	0.00386105365795115	0.00286759096051143
ctransferencias_emitidas_lag1	0.0010576944779151	0.00382672625918531	0.00220988661177028
ctarjeta_debito_lag1	0.00105506238388587	0.00162262997446156	0.00193803548095727
internet_lag1	0.00103935971331551	0.00307156131182095	0.00191172730700762
Master_msaldopesos	0.00103796931779898	0.00267191577362959	0.00189418852437452
Master_fultimo_cierre_delta1	0.00102632114366986	0.00133181036108109	0.00207834574202205
