Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.18813498552094	0.0108338486122599	0.00448834222616478
mtarjeta_visa_consumo	0.0561677035286067	0.0106628213222311	0.00620953541023978
ctrx_quarter	0.047978843545761	0.00416769997743505	0.00291278846535768
mcaja_ahorro	0.0411844366850557	0.00697931948836648	0.00696421242171881
mcuentas_saldo	0.0406587079804881	0.0124307429996472	0.0110156363780799
Visa_status_mean6	0.0206021015872779	0.0036188631202971	0.000887076487177111
mdescubierto_preacordado	0.0191134336299039	0.00204784722214943	0.00129751486184115
cpayroll_trx	0.0178927575721705	0.00829802041640318	0.0027803889896596
mprestamos_personales	0.0166675444007452	0.0113586440282925	0.0055475380317494
foto_mes	0.0153219134831194	0.0269342329344543	0.0174370109494366
mcuenta_corriente	0.0140008505947678	0.0036767887316828	0.00655377404705477
mpasivos_margen	0.0129633412839426	0.00493073626991779	0.00402494406122152
mdescubierto_preacordado_delta1	0.0128690195989886	0.00678828270963184	0.00189331250248249
mpayroll_sobre_edad	0.0117217498690998	0.0091758714459133	0.00402494406122152
mv_status01	0.0111022990447168	0.00118769027275618	0.000675237326060189
mpayroll	0.00980738973283912	0.00923758634404494	0.0038263448476744
mprestamos_personales_mean6	0.0097235698105752	0.00374921594424516	0.00289954851778787
mv_status07	0.00938436586452765	0.000103981061200839	0.000132399475698076
mcuenta_corriente_lag1	0.00923819167165956	0.00199147051129013	0.00410438374664036
cproductos_delta1	0.00828572317772967	0.0046222824549978	0.0010459558580148
ctrx_quarter_mean6	0.00815444191525557	0.00165348439489942	0.00215811145387864
ctarjeta_visa_trx	0.00684886027372999	0.00513408094546472	0.00532245892306267
cprestamos_personales_mean6	0.00645836561812244	0.00246684572709451	0.0020919117160296
mdescubierto_preacordado_mean6	0.00629163694046536	0.00267915920406264	0.00195951224033153
mv_status01_mean6	0.00573471838140368	0.00142866412327586	0.00107243575315442
Visa_Finiciomora_mean6	0.0056057850402197	0.00195892291623159	0.000979756120165764
mactivos_margen_mean6	0.00532904412434856	0.00280866815491514	0.00509737981437594
mv_Finiciomora	0.0049798684484363	0.00707990791574502	0.00188007255491268
