Feature	Gain	Cover	Frequency
ctrx_quarter	0.0962152793639588	0.00710983238409852	0.00578592092574735
ctrx_quarter_normalizado	0.0810752509382354	0.00609482810895215	0.00476225799273051
mcaja_ahorro	0.0684870714558009	0.00674007170053211	0.00664639121726875
mtarjeta_visa_consumo	0.0426916307710984	0.00604607129647061	0.00511831466508419
mcuentas_saldo	0.0364030584314865	0.0141193805986813	0.0126251761738743
mpasivos_margen	0.0226432949691736	0.00552791282905609	0.00511831466508419
mcuenta_corriente	0.0213312685321391	0.00857441954079871	0.00934648764928418
ctarjeta_visa_trx	0.0197655864829164	0.00430036505755707	0.00498479341295156
mv_status01	0.0185014212601274	0.00289680865487616	0.00120169126919368
mprestamos_personales	0.0183580230517039	0.0158618765853425	0.00695794080557822
cpayroll_trx	0.0172193154228514	0.00581715455721539	0.00243305392775017
mdescubierto_preacordado	0.0164601116889373	0.0124106868066939	0.00494028632890735
mpayroll	0.0160072718857995	0.00697545067878857	0.00382760922780209
foto_mes	0.0153266880282516	0.0296235876449004	0.0189600178028336
mv_status07	0.0125950438519237	0.000733536396878214	0.000459906535123507
mpayroll_sobre_edad	0.0111121084627938	0.00733632205370763	0.00390178770120911
mv_status06	0.0109048691157437	0.000524847046501986	0.000326385282990876
mdescubierto_preacordado_mean6	0.010789895946775	0.0113030995938991	0.00627549885023366
mcuenta_corriente_lag1	0.00924275333223014	0.00479074953053509	0.00661671982790594
Visa_status_mean6	0.00917578443927957	0.00357643802850645	0.00154291224686596
mpasivos_margen_mean6	0.0091515008522135	0.00251600846662208	0.00467324382464209
ctrx_quarter_lag1	0.00906455837870461	0.00122312245415874	0.00241821823306876
mcaja_ahorro_mean6	0.00899091362649528	0.00439425501530087	0.00583042800979156
cproductos_delta1	0.00817673116103562	0.00333650804251764	0.00167643349899859
mcaja_ahorro_lag1	0.00815734241734061	0.004053268006478	0.00510347897040279
mprestamos_personales_mean6	0.00764721336277074	0.00701595800723343	0.00495512202358875
mcuenta_corriente_mean6	0.0075596170070518	0.00807025506741793	0.0106371930865663
Master_status	0.0075567116649597	0.000305965123487811	0.000207699725539648
ctrx_quarter_normalizado_mean6	0.0073379647185323	0.00204695136473677	0.00262591795860841
Master_status_mean6	0.00726700195324223	0.000400431608522515	0.000267042504265262
Visa_status	0.00689313397267138	0.00281599460179979	0.00109784140642386
mv_Finiciomora_mean6	0.00597387267508999	0.00668005154734647	0.00313033157777613
mactivos_margen	0.00573481618504712	0.00790535678523157	0.00827831763222313
